Py3-pandas
2017-02-24,Py3-pandas,Python科学计算：pandas,Python,Py-compute
2017-02-22,Py3-basic,Python语法速查,Python,Python
2017-02-21,R-ggplot2,R语言（ggplot2绘图）,R,R-learning
2017-02-10,R-descriptive-statistics,R语言（描述性统计）,R,R-learning
2017-02-06,Py3-computing-efficiency,Python高效计算,Python,Py-compute
2017-01-29,R-plotting-basic,R语言（绘图入门）,R,R-learning
2017-01-28,R-create-functions,R语言（函数编写）,R,R-learning
2017-01-28,Regular-Expression,正则表达式,Other,
2017-01-27,R-manage-data,R语言（常用函数与数据管理）,R,R-learning
2017-01-24,R-read-data,R语言（数据读写操作）,R,R-learning
2017-01-23,R-clustering,算法交流：聚类,Algorithm R,R-learning
2017-01-22,R-data-structure,R语言（数据结构）,R,R-learning
2017-01-16,R-learning-basic,R语言（入门及风格指导）,R,R-learning
2017-01-08,Data-science-support-blog-skills,怎样用 Github Pages 建立博客（3. 绘图/科学计算）,Jekyll,create-blog
2017-01-08,Advanced-blog-skills,怎样用 Github Pages 建立博客（2. 进阶）,Jekyll,create-blog
2017-01-07,How-to-build-a-Github-Pages-blog,怎样用 Github Pages 建立博客（1. 入门）,Jekyll,create-blog 
